City (Where),Province
Buena Vista,Saskatchewan
Buffalo Narrows,Saskatchewan
Buffalo Point,Manitoba
Bulyea,Saskatchewan
Burgeo,Newfoundland and Labrador
Burin,Newfoundland and Labrador
Burlington,Newfoundland and Labrador
Burlington,Ontario
Burnaby,British Columbia
Burton,New Brunswick
Burtts Corner,New Brunswick
Burwash Landing,Yukon
Bushell Park,Saskatchewan
C,Alberta
C,British Columbia
C,Manitoba
C,New Brunswick
C,Newfoundland and Labrador
C,Northwest Territories
C,Nova Scotia
C,Nunavut
C,Ontario
C,Prince Edward Island
C,Quebec
C,Saskatchewan
C,Yukon
Cabri,Saskatchewan
Calaway Park,Alberta
Calder,Saskatchewan
Caledonia,Ontario
Calgary,Alberta
Calgary Farmers' Market,Alberta
Calgary International Airport,Alberta
Calgary Tower,Alberta
Calgary Zoo Botanical Garden Prehistoric Park,Alberta
Calvert,Newfoundland and Labrador
Cambridge,Ontario
Cambridge Bay,Nunavut
Cambridge-Narrows,New Brunswick
Camosun College (Cc) - Lansdowne Campus,British Columbia
Campbell Collegiate,Saskatchewan
Campbell River,British Columbia
Campbellton,New Brunswick
Campbellton,Newfoundland and Labrador
Camperville,Manitoba
Camrose,Alberta
Candle Lake,Saskatchewan
Cando,Saskatchewan
Canmore,Alberta
Canora,Saskatchewan
Canton-de-Granby,Quebec
Canwood,Saskatchewan
Cap-Pele,New Brunswick
Cap-de-la-Madeleine,Quebec
Cape Broyle,Newfoundland and Labrador
Cape Dorset,Nunavut
Cape Spear National Historic Site,Newfoundland and Labrador
Capilano Suspension Bridge,British Columbia
Caplin Cove Bdv,Newfoundland and Labrador
Caraquet,New Brunswick
Carberry,Manitoba
Carbonear,Newfoundland and Labrador
Carcross,Yukon
Cardigan,Prince Edward Island
Carleton Place,Ontario
Carleton University,Ontario
Carlyle,Saskatchewan
Carmacks,Yukon
Carman,Manitoba
Carmanville,Newfoundland and Labrador
Caronport,Saskatchewan
Carrefour Angrignon,Quebec
Carroll,Manitoba
Carrot River,Saskatchewan
Carters Cove,Newfoundland and Labrador
Cartier,Manitoba
Cartwright,Manitoba
Cartyville,Newfoundland and Labrador
Casa Rio,Saskatchewan
Castlegar,British Columbia
Catalone,Nova Scotia
Cegep Marie-Victorin,Quebec
Central Bedeque,Prince Edward Island
Centre Eaton de Montreal,Quebec
Chambly,Quebec
Chance Cove,Newfoundland and Labrador
Channel-Port-Aux-Basques,Newfoundland and Labrador
Channing,Manitoba
Charlesbourg,Quebec
Charlo,New Brunswick
Charlottetown,Newfoundland and Labrador
Charlottetown,Prince Edward Island
Charlottetown Lab,Newfoundland and Labrador
Chateauguay,Quebec
Chatham,Ontario
Chelan,Saskatchewan
Chemainus,British Columbia
Cherryville,British Columbia
Chestermere,Alberta
Chicoutimi,Quebec
Chilliwack,British Columbia
Chipman,New Brunswick
Chitek Lake,Saskatchewan
Christina Lake,British Columbia
Christmas Island,Nova Scotia
Christopher Lake,Saskatchewan
Churchill,Manitoba
Clairmont,Alberta
Clanwilliam,Manitoba
Clarenville,Newfoundland and Labrador
Clarkes Beach,Newfoundland and Labrador
Clavet,Saskatchewan
Clearwater River,Saskatchewan
Coaldale,Alberta
Cobble Hill,British Columbia
Cobourg,Ontario
Cocagne,New Brunswick
Cochin,Saskatchewan
Cochrane,Alberta
Codette,Saskatchewan
Codroy,Newfoundland and Labrador
Cold Lake,Alberta
Coldbrook,Nova Scotia
Coldstream,British Columbia
Cole Bay,Saskatchewan
Cole Harbour,Nova Scotia
Coleman,Prince Edward Island
Coleys Point South,Newfoundland and Labrador
College Heights,Alberta
Collingwood,Ontario
Colpitts Settlement,New Brunswick
Colville Lake,Northwest Territories
Come By Chance,Newfoundland and Labrador
Comox,British Columbia
Conception Bay South,Newfoundland and Labrador
Conception Harbour,Newfoundland and Labrador
Conche,Newfoundland and Labrador
Concord,Ontario
Conquest,Saskatchewan
Consul,Saskatchewan
Cooks Harbour,Newfoundland and Labrador
Coppersands,Saskatchewan
Coquitlam,British Columbia
Coquitlam Centre,British Columbia
Coral Harbour,Nunavut
Cormack,Newfoundland and Labrador
Corman Park,Saskatchewan
Cormorant,Manitoba
Corner Brook,Newfoundland and Labrador
Cornwall,Ontario
Cornwall,Prince Edward Island
Cornwall Centre,Saskatchewan
Coronach,Saskatchewan
Cottlesville,Newfoundland and Labrador
Courtenay,British Columbia
Courtice,Ontario
Cow Bay,Nova Scotia
Cowan,Manitoba
Cowessess,Saskatchewan
Coxs Cove,Newfoundland and Labrador
Cranberry Portage,Manitoba
Cranbrook,British Columbia
Crane River,Manitoba
Crapaud,Prince Edward Island
Craven,Saskatchewan
Creighton,Saskatchewan
Creston,British Columbia
Crooked River,Saskatchewan
Crystal Springs,Saskatchewan
Cultus Lake,British Columbia
Cumberland Bay,New Brunswick
Cupids,Newfoundland and Labrador
Cégep De Sherbrooke,Quebec
D,Alberta
D,British Columbia
D,Manitoba
D,New Brunswick
D,Newfoundland and Labrador
D,Northwest Territories
D,Nova Scotia
D,Ontario
D,Quebec
D,Saskatchewan
D,Yukon
Dacotah,Manitoba
Dakota Tipi,Manitoba
Dalhousie,New Brunswick
Dalhousie University,Nova Scotia
Darlingford,Manitoba
Dartmouth,Nova Scotia
Dartmouth Sportsplex,Nova Scotia
Dauphin,Manitoba
Davis Inlet,Newfoundland and Labrador
Dawson,Yukon
Dawson Creek,British Columbia
De Winton,Alberta
Dead Man's Flats,Alberta
Deer Lake,Newfoundland and Labrador
Deer Valley,Saskatchewan
Deline,Northwest Territories
Deloraine,Manitoba
Delta,British Columbia
Destruction Bay,Yukon
Deux-Montagnes,Quebec
Devon,Alberta
Dieppe,New Brunswick
Dildo,Newfoundland and Labrador
Doaktown,New Brunswick
Dolbeau-Mistassini,Quebec
Dollard-Des-Ormeaux,Quebec
Dominion,Nova Scotia
Donkin,Nova Scotia
Dorval,Quebec
Douglas,New Brunswick
Dover,Newfoundland and Labrador
Doyles,Newfoundland and Labrador
Drayton Valley,Alberta
Drumheller,Alberta
Drummondville,Quebec
Dsl de Drummond,New Brunswick
Dsl de Saint-Andre,New Brunswick
Duffield,Alberta
Dugald,Manitoba
Duncan,British Columbia
Dundas,Ontario
Dunville,Newfoundland and Labrador
Dutch Settlement,Nova Scotia
E,Alberta
E,British Columbia
E,Manitoba
E,New Brunswick
E,Newfoundland and Labrador
E,Northwest Territories
E,Nova Scotia
E,Nunavut
E,Ontario
E,Prince Edward Island
E,Quebec
E,Saskatchewan
East Coast Trail,Newfoundland and Labrador
East Lawrencetown,Nova Scotia
East Preston,Nova Scotia
East St Paul,Manitoba
East York,Ontario
Eastern Passage,Nova Scotia
Eastport,Newfoundland and Labrador
Eckville,Alberta
Edmonton,Alberta
Edmundston,New Brunswick
Edson,Alberta
Elgin,New Brunswick
Ellerslie,Prince Edward Island
Elm Creek,Manitoba
Elmira,Prince Edward Island
Elmsdale,Nova Scotia
Elmsdale,Prince Edward Island
Emerald Park,Saskatchewan
Enderby,British Columbia
Enfield,Nova Scotia
Enterprise,Northwest Territories
Estevan,Saskatchewan
Etobicoke,Ontario
F,Alberta
F,British Columbia
F,Manitoba
F,New Brunswick
F,Newfoundland and Labrador
F,Northwest Territories
F,Nova Scotia
F,Ontario
F,Prince Edward Island
F,Quebec
F,Saskatchewan
F,Yukon
Fall River,Nova Scotia
Fallsview Casino,Ontario
Faro,Yukon
Fernie,British Columbia
Flatrock,Newfoundland and Labrador
Flin Flon,Manitoba
Florence,Nova Scotia
Fort Erie,Ontario
Fort Gibraltar,Manitoba
Fort Good Hope,Northwest Territories
Fort Liard,Northwest Territories
Fort McMurray,Alberta
Fort McPherson,Northwest Territories
Fort Providence,Northwest Territories
Fort Resolution,Northwest Territories
Fort Saskatchewan,Alberta
Fort Simpson,Northwest Territories
Fort Smith,Northwest Territories
Fort St John,British Columbia
Fort Vermilion,Alberta
Fredericton,New Brunswick
Freetown,Prince Edward Island
Furdale,Saskatchewan
G,Alberta
G,British Columbia
G,Manitoba
G,New Brunswick
G,Newfoundland and Labrador
G,Northwest Territories
G,Nova Scotia
G,Nunavut
G,Ontario
G,Prince Edward Island
G,Quebec
G,Saskatchewan
G,Yukon
Gabriola,British Columbia
Gagetown,New Brunswick
Galaxy Cinemas Guelph,Ontario
Gander,Newfoundland and Labrador
Gardiner Mines,Nova Scotia
Gatineau,Quebec
Georges River,Nova Scotia
Georgetown,Ontario
Georgetown,Prince Edward Island
Gibsons,British Columbia
Gilbert Plains,Manitoba
Gimli,Manitoba
Glace Bay,Nova Scotia
Glen Haven,Nova Scotia
Glen Margaret,Nova Scotia
Glenbush,Saskatchewan
Glenwood,Alberta
Glenwood,Newfoundland and Labrador
Globe Theatre,Saskatchewan
Gloucester,Ontario
Glovertown,Newfoundland and Labrador
Goderich,Ontario
Golden,British Columbia
Goodsoil,Saskatchewan
Goulds,Newfoundland and Labrador
Granby,Quebec
Grand Bay-Westfield,New Brunswick
Grand Falls,New Brunswick
Grand Falls-Windsor,Newfoundland and Labrador
Grand Forks,British Columbia
Grand Lake,Nova Scotia
Grand Manan,New Brunswick
Grand Mira North,Nova Scotia
Grand-Barachois,New Brunswick
Grand-Mere,Quebec
Grand-Sault/Grand Falls,New Brunswick
Grande Prairie,Alberta
Grande-Digue,New Brunswick
Grandora,Saskatchewan
Grandview,Manitoba
Grasswood,Saskatchewan
Gravenhurst,Ontario
Green Gables,Prince Edward Island
Grimsby,Ontario
Grouard,Alberta
Guelph,Ontario
H,Alberta
H,British Columbia
H,Manitoba
H,New Brunswick
H,Newfoundland and Labrador
H,Northwest Territories
H,Nova Scotia
H,Nunavut
H,Ontario
H,Prince Edward Island
H,Quebec
H,Saskatchewan
H,Yukon
Hacketts Cove,Nova Scotia
Hadashville,Manitoba
Haines Junction,Yukon
Halfmoon Bay,Alberta
Halfmoon Bay,British Columbia
Halifax,Nova Scotia
Halifax Forum,Nova Scotia
Halifax Metro Centre,Nova Scotia
Halifax Shopping Centre,Nova Scotia
Hamilton,Ontario
Hammonds Plains,Nova Scotia
Hampton,New Brunswick
Hanmer,Ontario
Hanna,Alberta
Hanwell,New Brunswick
Happy Valley-Goose Bay,Newfoundland and Labrador
Harcourt,New Brunswick
Harrietsfield,Nova Scotia
Hartland,New Brunswick
Harvey York Co,New Brunswick
Harvie Heights,Alberta
Hatchet Lake,Nova Scotia
Havelock,New Brunswick
Hay River,Northwest Territories
Head Of St Margarets Bay,Nova Scotia
Headingley,Manitoba
Herring Cove,Nova Scotia
Herring Neck,Newfoundland and Labrador
High Level,Alberta
High River,Alberta
Hillsborough,New Brunswick
Hillview,Newfoundland and Labrador
Hinton,Alberta
Holman,Northwest Territories
Holy Trinity School,Alberta
Holyrood,Newfoundland and Labrador
Hope,British Columbia
Howie Center,Nova Scotia
Hubley,Nova Scotia
Hudson Bay,Saskatchewan
Hunter River,Prince Edward Island
Huntsville,Ontario
I,Alberta
I,British Columbia
I,Manitoba
I,New Brunswick
I,Newfoundland and Labrador
I,Northwest Territories
I,Nova Scotia
I,Nunavut
I,Ontario
I,Quebec
I,Saskatchewan
IWK Health Centre,Nova Scotia
Innisfail,Alberta
Innisfil,Ontario
Inuvik,Northwest Territories
Invermere,British Columbia
Iqaluit,Nunavut
Island Lake,Alberta
Island Lake South,Alberta
J,Alberta
J,British Columbia
J,Manitoba
J,New Brunswick
J,Newfoundland and Labrador
J,Northwest Territories
J,Nova Scotia
J,Ontario
J,Quebec
J,Saskatchewan
J,Yukon
Joe Batts Arm,Newfoundland and Labrador
Johnson Geo Centre,Newfoundland and Labrador
Joliette,Quebec
Jonquiere,Quebec
K,Alberta
K,British Columbia
K,Manitoba
K,New Brunswick
K,Newfoundland and Labrador
K,Nova Scotia
K,Nunavut
K,Ontario
K,Prince Edward Island
K,Quebec
K,Saskatchewan
K,Yukon
Kamloops,British Columbia
Kanata,Ontario
Kars,New Brunswick
Kedgwick,New Brunswick
Kelowna,British Columbia
Kensington,Prince Edward Island
Kentville,Nova Scotia
Kenville,Manitoba
Keswick,Ontario
Kildonan Place,Manitoba
Kimberley,British Columbia
Kimmirut,Nunavut
Kincardine,Ontario
Kindersley,Saskatchewan
Kingston,New Brunswick
Kingston,Ontario
Kingsville,Ontario
Kinkora,Prince Edward Island
Kippens,Newfoundland and Labrador
Kirkland,Quebec
Kitchener,Ontario
Kitimat,British Columbia
Kugluktuk,Nunavut
L,Alberta
L,British Columbia
L,Manitoba
L,New Brunswick
L,Newfoundland and Labrador
L,Northwest Territories
L,Nova Scotia
L,Nunavut
L,Ontario
L,Prince Edward Island
L,Quebec
L,Saskatchewan
L,Yukon
L'Ancienne-Lorette,Quebec
L'Assomption,Quebec
La Baie,Quebec
La Prairie,Quebec
La Ronde amusement park,Quebec
La Scie,Newfoundland and Labrador
La Tuque,Quebec
Labrador City,Newfoundland and Labrador
Lac Des Arcs,Alberta
Lac du Bonnet,Manitoba
Lac la Biche,Alberta
Lachenaie,Quebec
Lachine,Quebec
Lachute,Quebec
Lacombe,Alberta
Ladle Cove,Newfoundland and Labrador
Ladysmith,British Columbia
Lake Echo,Nova Scotia
Lake Louise,Alberta
Lakeside,Nova Scotia
Lakeville-Westmorland,New Brunswick
Lameque,New Brunswick
Landmark,Manitoba
Langdon,Alberta
Langham,Saskatchewan
Langley,British Columbia
Lantz,Nova Scotia
Lantzville,British Columbia
Lasalle,Quebec
Laval,Quebec
Lawrencetown,Nova Scotia
Le Gardeur,Quebec
Leamington,Ontario
Leduc,Alberta
Lennox Island,Prince Edward Island
Leoville,Saskatchewan
Leross,Saskatchewan
Lethbridge,Alberta
Levis,Quebec
Lincoln,New Brunswick
Lindell Beach,British Columbia
Lindsay,Ontario
Little Bay East,Newfoundland and Labrador
Lloydminster,Alberta
Lloydminster,Saskatchewan
Lockport,Manitoba
London,Ontario
Longueuil,Quebec
Louisbourg,Nova Scotia
Lower Sackville,Nova Scotia
Lucasville,Nova Scotia
Lumby,British Columbia
Lumsden,Saskatchewan
Lundar,Manitoba
Lunenburg,Nova Scotia
Lutselk'e,Northwest Territories
M,Alberta
M,British Columbia
M,Manitoba
M,New Brunswick
M,Newfoundland and Labrador
M,Nova Scotia
M,Ontario
M,Prince Edward Island
M,Quebec
M,Saskatchewan
M,Yukon
Magog,Quebec
Maidstone,Saskatchewan
Main-A-Dieu,Nova Scotia
Maisonnette,New Brunswick
Manitou,Manitoba
Mannville,Alberta
Maple,Ontario
Maple Ridge,British Columbia
Marion Bridge,Nova Scotia
Market Mall,Alberta
Market Mall,Saskatchewan
Markham,Ontario
Marsh Lake,Yukon
Mascouche,Quebec
Mayo,Yukon
McAdam,New Brunswick
McGill University,Quebec
Mcmaster University,Ontario
Meadow Lake,Saskatchewan
Medicine Hat,Alberta
Melfort,Saskatchewan
Membertou,Nova Scotia
Memorial University Of Newfoundland,Newfoundland and Labrador
Memramcook,New Brunswick
Mendham,Saskatchewan
Merritt,British Columbia
Miami,Manitoba
Micmac Mall,Nova Scotia
Middle Cove,Newfoundland and Labrador
Middle Sackville,Nova Scotia
Midland,Ontario
Midtown Plaza,Saskatchewan
Mile One Centre,Newfoundland and Labrador
Mill Bay,British Columbia
Millville,Nova Scotia
Milton,Ontario
Miminegash,Prince Edward Island
Mineville,Nova Scotia
Minnedosa,Manitoba
Minto,New Brunswick
Mira Gut,Nova Scotia
Mirabel,Quebec
Miramichi,New Brunswick
Miscouche,Prince Edward Island
Mission,British Columbia
Mississauga,Ontario
Mitchell,Manitoba
Moncton,New Brunswick
Mont-Royal,Quebec
Mont-Saint-Hilaire,Quebec
Mont-Tremblant,Quebec
Montague,Prince Edward Island
Montreal,Quebec
Montreal-Nord,Quebec
Moose Jaw,Saskatchewan
Morden,Manitoba
Morell,Prince Edward Island
Morinville,Alberta
Morris,Manitoba
Mount Pearl,Newfoundland and Labrador
Mount Stewart,Prince Edward Island
Mts Centre,Manitoba
Murray Harbour,Prince Edward Island
Murray River,Prince Edward Island
Museum Of Civilization,Quebec
Musgrave Harbour,Newfoundland and Labrador
N,Alberta
N,British Columbia
N,Manitoba
N,New Brunswick
N,Newfoundland and Labrador
N,Northwest Territories
N,Nova Scotia
N,Nunavut
N,Ontario
N,Prince Edward Island
N,Quebec
N,Saskatchewan
N,Yukon
Nanaimo,British Columbia
Nanisivik,Nunavut
Nanisivik Airport,Nunavut
Nanoose Bay,British Columbia
National Music Centre,Alberta
Neepawa,Manitoba
Neguac,New Brunswick
Nelson,British Columbia
Nepean,Ontario
Neptune Theatre,Nova Scotia
New Denmark,New Brunswick
New Glasgow,Nova Scotia
New Glasgow,Prince Edward Island
New Maryland,New Brunswick
New Minas,Nova Scotia
New Victoria,Nova Scotia
New Waterford,Nova Scotia
New Westminster,British Columbia
Newmarket,Ontario
Niagara Falls,Ontario
Nicolet,Quebec
Nine Mile River,Nova Scotia
Nipawin,Saskatchewan
Nisku,Alberta
Norglenwold,Alberta
Norman Wells,Northwest Territories
North Battleford,Saskatchewan
North Bay,Ontario
North Rustico,Prince Edward Island
North Saanich,British Columbia
North Sydney,Nova Scotia
North Vancouver,British Columbia
North Wiltshire,Prince Edward Island
North York,Ontario
Northgate Mall,Saskatchewan
Northside East Bay,Nova Scotia
Norton,New Brunswick
Norway House,Manitoba
Notre-Dame,New Brunswick
O,Alberta
O,British Columbia
O,Manitoba
O,New Brunswick
O,Newfoundland and Labrador
O,Nova Scotia
O,Ontario
O,Prince Edward Island
O,Quebec
O,Saskatchewan
O,Yukon
O'Leary,Prince Edward Island
Oak Bay,New Brunswick
Oakbank,Manitoba
Oakville,Ontario
Ochre River,Manitoba
Okanagan Centre,British Columbia
Okotoks,Alberta
Old Crow,Yukon
Olds,Alberta
Onoway,Alberta
Orangeville,Ontario
Orillia,Ontario
Orleans,Ontario
Oromocto,New Brunswick
Oscar,British Columbia
Oshawa,Ontario
Ottawa,Ontario
Otterburne,Manitoba
Our Lady Of Fatima,Alberta
Owen Sound,Ontario
Oyama,British Columbia
P,Alberta
P,British Columbia
P,Manitoba
P,New Brunswick
P,Newfoundland and Labrador
P,Northwest Territories
P,Nova Scotia
P,Nunavut
P,Ontario
P,Prince Edward Island
P,Quebec
P,Saskatchewan
P,Yukon
Pacific Centre,British Columbia
Paradise,Newfoundland and Labrador
Parksville,British Columbia
Pasadena,Newfoundland and Labrador
Patuanak,Saskatchewan
Paulatuk,Northwest Territories
Peace River,Alberta
Peachland,British Columbia
Pelly Crossing,Yukon
Pembroke,Ontario
Pender Island,British Columbia
Penetanguishene,Ontario
Pennfield,New Brunswick
Penticton,British Columbia
Perth-Andover,New Brunswick
Peterborough,Ontario
Petit-Rocher,New Brunswick
Petitcodiac,New Brunswick
Pickering,Ontario
Pier 21,Nova Scotia
Pierceland,Saskatchewan
Pierrefonds,Quebec
Pilot Mound,Manitoba
Pinantan Lake,British Columbia
Pinawa,Manitoba
Pine Falls,Manitoba
Pipestone,Manitoba
Pitt Meadows,British Columbia
Place des Arts,Quebec
Placentia,Newfoundland and Labrador
Plaster Rock,New Brunswick
Pointe-Aux-Trembles,Quebec
Pointe-Claire,Quebec
Pointe-du-Chene,New Brunswick
Ponoka,Alberta
Port Alberni,British Columbia
Port Au Port,Newfoundland and Labrador
Port Borden,Prince Edward Island
Port Colborne,Ontario
Port Coquitlam,British Columbia
Port Hastings,Nova Scotia
Port Hawkesbury,Nova Scotia
Port Hope,Ontario
Port Moody,British Columbia
Port Morien,Nova Scotia
Port Rexton,Newfoundland and Labrador
Portage la Prairie,Manitoba
Porters Lake,Nova Scotia
Portugal Cove-St Philips,Newfoundland and Labrador
Portuguese Cove,Nova Scotia
Powell River,British Columbia
Pownal,Prince Edward Island
Priddis,Alberta
Prince Albert,Saskatchewan
Prince George,British Columbia
Prince Rupert,British Columbia
Prospect Bay,Nova Scotia
Q,Alberta
Q,British Columbia
Q,New Brunswick
Q,Newfoundland and Labrador
Q,Nova Scotia
Q,Nunavut
Q,Ontario
Q,Prince Edward Island
Q,Quebec
Q,Saskatchewan
Q,Yukon
Qualicum Beach,British Columbia
Quebec,Quebec
Quesnel,British Columbia
Quidi Vidi Lake,Newfoundland and Labrador
Quispamsis,New Brunswick
R,Alberta
R,British Columbia
R,Manitoba
R,New Brunswick
R,Newfoundland and Labrador
R,Northwest Territories
R,Nova Scotia
R,Nunavut
R,Ontario
R,Prince Edward Island
R,Quebec
R,Saskatchewan
R,Yukon
Rae Edzo,Northwest Territories
Rae Lakes,Northwest Territories
Raleigh,Newfoundland and Labrador
Randolph,Manitoba
Rankin Inlet,Nunavut
Red Deer,Alberta
Red Deer County,Alberta
Redcliff,Alberta
Redwood Meadows,Alberta
Regina,Saskatchewan
Regina Beach,Saskatchewan
Regina General Hospital,Saskatchewan
Reidville,Newfoundland and Labrador
Repentigny,Quebec
Reserve Mines,Nova Scotia
Revelstoke,British Columbia
Rexton,New Brunswick
Richer,Manitoba
Richibouctou-Village,New Brunswick
Richibucto,New Brunswick
Richmond,British Columbia
Richmond,Prince Edward Island
Richmond Centre,British Columbia
Richmond Hill,Ontario
Rimbey,Alberta
Rimouski,Quebec
River Rock Casino,British Columbia
River Ryan,Nova Scotia
Riverside Estates,Saskatchewan
Riverview,New Brunswick
Riviere-Verte,New Brunswick
Riviere-du-Loup,Quebec
Roberts Creek,British Columbia
Roblin,Manitoba
Roblin,Ontario
Rock Forest,Quebec
Rockglen,Saskatchewan
Rocky Mountain House,Alberta
Rollingdam,New Brunswick
Rose Valley,Saskatchewan
Roseau River,Manitoba
Rosedale,British Columbia
Rosedale Valley,Alberta
Rosemere,Quebec
Ross River,Yukon
Rothesay,New Brunswick
Rouyn-Noranda,Quebec
Royal Roads University,British Columbia
Ruddell,Saskatchewan
Ryerson University,Ontario
S,Alberta
S,British Columbia
S,Manitoba
S,New Brunswick
S,Newfoundland and Labrador
S,Northwest Territories
S,Nova Scotia
S,Nunavut
S,Ontario
S,Prince Edward Island
S,Quebec
S,Saskatchewan
S,Yukon
Saanichton,British Columbia
Sachs Harbour,Northwest Territories
Sackville,New Brunswick
Saint John,New Brunswick
Saint-Antoine,New Brunswick
Saint-Augustin-de-Desmaures,Quebec
Saint-Basile,New Brunswick
Saint-Bruno,Quebec
Saint-Charles,New Brunswick
Saint-Constant,Quebec
Saint-Eustache,Quebec
Saint-Felicien,Quebec
Saint-Georges,Quebec
Saint-Hippolyte,Quebec
Saint-Hubert,Quebec
